,n_req,timestamp,stations
1028,1442,2012-01-11,47
1029,90,2012-01-11,55
1030,275,2013-01-11,3
1031,18,2013-01-11,8
1032,414,2013-01-11,24
1033,191,2013-01-11,25
1034,1533,2013-01-11,26
1035,152,2013-01-11,34
1036,215,2013-01-11,35
1037,411,2013-01-11,39
1038,1470,2013-01-11,47
1039,68,2013-01-11,55
1040,409,2014-01-11,3
1041,16,2014-01-11,8
1042,284,2014-01-11,24
1043,166,2014-01-11,25
1044,1325,2014-01-11,26
1045,159,2014-01-11,34
1046,265,2014-01-11,35
1047,404,2014-01-11,39
1048,1089,2014-01-11,47
1049,78,2014-01-11,55
1050,176,2015-01-11,3
